"";"post_code";"muni_name"
"444";"14620";"Hattula"
"445";"14680";"Hämeenlinna"
"446";"14690";"Hämeenlinna"
"447";"14700";"Hämeenlinna"
"448";"14770";"Hämeenlinna"
"449";"14810";"Hämeenlinna"
"450";"14820";"Hämeenlinna"
"451";"14840";"Hämeenlinna"
"452";"14870";"Hämeenlinna"
"453";"14930";"Hämeenlinna"
"454";"14960";"Pälkäne"
"455";"14980";"Pälkäne"
"456";"15100";"Lahti"
"457";"15110";"Lahti"
"458";"15140";"Lahti"
"459";"15150";"Lahti"
"460";"15160";"Lahti"
"461";"15170";"Lahti"
"462";"15200";"Lahti"
"463";"15210";"Lahti"
"464";"15230";"Lahti"
"465";"15240";"Lahti"
"466";"15270";"Hollola"
"467";"15300";"Lahti"
"468";"15320";"Lahti"
"469";"15340";"Lahti"
"470";"15460";"Lahti"
"471";"15500";"Lahti"
"472";"15520";"Lahti"
"473";"15540";"Lahti"
"474";"15550";"Lahti"
"475";"15560";"Lahti"
"476";"15580";"Lahti"
"477";"15610";"Lahti"
"478";"15680";"Lahti"
"479";"15700";"Hollola"
"480";"15800";"Lahti"
"481";"15810";"Lahti"
"482";"15820";"Hollola"
"483";"15830";"Lahti"
"484";"15840";"Lahti"
"485";"15850";"Lahti"
"486";"15860";"Hollola"
"487";"15870";"Hollola"
"488";"15880";"Hollola"
"489";"15900";"Lahti"
"490";"15950";"Lahti"
"491";"15980";"Hollola"
"492";"16100";"Lahti"
"493";"16160";"Lahti"
"494";"16200";"Orimattila"
"495";"16230";"Orimattila"
"496";"16260";"Orimattila"
"497";"16270";"Orimattila"
"498";"16280";"Orimattila"
"499";"16300";"Orimattila"
"500";"16310";"Orimattila"
"501";"16320";"Orimattila"
"502";"16330";"Orimattila"
"503";"16350";"Orimattila"
"504";"16390";"Orimattila"
"505";"16450";"Orimattila"
"506";"16500";"Hollola"
"507";"16510";"Orimattila"
"508";"16540";"Kärkölä"
"509";"16600";"Kärkölä"
"510";"16610";"Kärkölä"
"511";"16630";"Hollola"
"512";"16670";"Kärkölä"
"513";"16710";"Hollola"
"514";"16730";"Hollola"
"515";"16790";"Hollola"
"516";"16800";"Hollola"
"517";"16900";"Hämeenlinna"
"518";"16960";"Hämeenlinna"
"519";"16970";"Hämeenlinna"
"520";"17110";"Hollola"
"521";"17120";"Hollola"
"522";"17130";"Asikkala"
"523";"17150";"Asikkala"
"524";"17200";"Asikkala"
"525";"17220";"Asikkala"
"526";"17240";"Asikkala"
"527";"17320";"Asikkala"
"528";"17410";"Asikkala"
"529";"17430";"Asikkala"
"530";"17440";"Asikkala"
"531";"17450";"Asikkala"
"532";"17470";"Padasjoki"
"533";"17500";"Padasjoki"
"534";"17510";"Padasjoki"
"535";"17530";"Padasjoki"
"536";"17610";"Padasjoki"
"537";"17630";"Padasjoki"
"538";"17710";"Padasjoki"
"539";"17740";"Padasjoki"
"540";"17780";"Kuhmoinen"
"541";"17800";"Kuhmoinen"
"542";"17840";"Kuhmoinen"
"543";"17850";"Kuhmoinen"
