"";"neighborhood";"apartment_type";"building_type";"square_meters";"price";"price_per_sqm";"year_built";"floor";"elevator";"condition";"property_type";"energy_classification";"post_code";"apartment_type_cleaned";"number_of_rooms";"sauna_dummy";"own_floor";"max_floor";"elevator_dummy";"condition_unrecorded_dummy";"condition_adequate_dummy";"condition_good_dummy";"age_of_building";"own_property_dummy";"energy_class_cleaned";"energy_class_A_dummy";"energy_class_B_dummy";"energy_class_C_dummy";"energy_class_D_dummy";"energy_class_E_dummy";"energy_class_F_dummy";"energy_class_G_dummy";"energy_class_missing_dummy";"one_room_dummy";"two_rooms_dummy";"three_rooms_dummy";"four_or_more_rooms_dummy";"room_information_missing_dummy";"row_house_dummy";"town_house_dummy"
"13721";"";"4h, k, wc";"ok";85;"75000";"882";"1959";" ";"ei";"tyyd.";"vuokra";NA;"26660";"4h+k+wc";4;0;NA;NA;0;0;1;0;61;0;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13723";"";"5h, k, takkah, ...";"ok";156;"180000";"1154";"1972";" ";"ei";"hyvä";"vuokra";NA;"26660";"5h+k+takkah+...";5;0;NA;NA;0;0;0;1;48;0;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13727";"Eurajoki";"4h, k, s, autot...";"rt";107;"130000";"1215";"1989";"1/1";"ei";"hyvä";"oma";"F2013";"27100";"4h+k+s+autot...";4;1;1;1;0;0;0;1;31;1;"F";0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
"13729";"";"4h+k";"ok";94;"60000";"638";"1967";" ";"ei";"tyyd.";"oma";NA;"27100";"4h+k";4;0;NA;NA;0;0;1;0;53;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13730";"Kauttua";"6k,k,khh,kh,s,wc";"ok";160;"125000";"781";"1964";" ";"ei";"hyvä";"oma";NA;"27500";"6k+k+khh+kh+s+wc";NA;1;NA;NA;0;0;0;1;56;1;"missing";0;0;0;0;0;0;0;1;0;0;0;0;1;0;1
"13731";"Kauttua";"5h,k,khh,kh,s";"ok";130;"170000";"1308";"1974";" ";"ei";"hyvä";"oma";NA;"27500";"5h+k+khh+kh+s";5;1;NA;NA;0;0;0;1;46;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13732";"Kauttua";"4mh,oh/k,khh,s";"ok";135;"215000";"1593";"2020";" ";"ei";"hyvä";"oma";"B2018";"27500";"4mh+oh/k+khh+s";NA;1;NA;NA;0;0;0;1;0;1;"B";0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
"13733";"Kauttua";"4h,k,s";"ok";100;"50000";"500";"1964";" ";"ei";"hyvä";"oma";NA;"27500";"4h+k+s";4;1;NA;NA;0;0;0;1;56;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13735";"";"5h,k,th,kh,s,2 ...";"ok";122;"95000";"779";"1974";" ";"ei";"hyvä";"oma";"D2018";"27800";"5h+k+th+kh+s+2...";5;1;NA;NA;0;0;0;1;46;1;"D";0;0;0;1;0;0;0;0;0;0;0;1;0;0;1
"13736";"";"4h,k,khh,kph,s,...";"ok";116;"74800";"645";"1975";" ";"ei";"tyyd.";"oma";NA;"27800";"4h+k+khh+kph+s+...";4;1;NA;NA;0;0;1;0;45;1;"missing";0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
"13737";"Keskusta";"oh, mt, kt, kh,...";"kt";35;"150000";"4286";"2016";"3/7";"on";"hyvä";"oma";NA;"28100";"oh+mt+kt+kh+...";NA;0;3;7;1;0;0;1;4;1;"missing";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"13738";"Keskusta";"1h+kk";"kt";26;"60205";"2316";"1933";"2/4";"ei";" ";"oma";"F2013";"28100";"1h+kk";1;0;2;4;0;1;0;0;87;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13739";"Keskusta";"1h+tupak.+s";"kt";35;"117182";"3348";"2012";"3/6";"on";"hyvä";"oma";"B2018";"28100";"1h+tupak.+s";1;1;3;6;1;0;0;1;8;1;"B";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
"13740";"Viidesosa";"1h, kk, kh, vh, p";"kt";28;"45000";"1607";"1984";"2/4";"on";"tyyd.";"oma";"F2013";"28100";"1h+kk+kh+vh+p";1;0;2;4;1;0;1;0;36;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13741";"Keskusta";"1h+kk+ph";"kt";31,5;"63500";"2016";"1963";"3/6";"on";"tyyd.";"oma";"F2013";"28100";"1h+kk+ph";1;0;3;6;1;0;1;0;57;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13742";"Keskusta";"oh, mt, kt, kh,...";"kt";35;"140000";"4000";"2016";"1/7";"on";"hyvä";"oma";NA;"28100";"oh+mt+kt+kh+...";NA;0;1;7;1;0;0;1;4;1;"missing";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"13743";"Keskusta";"1h,kk,kph";"kt";28;"50000";"1786";"1961";"3/7";"on";"tyyd.";"oma";"F2013";"28100";"1h+kk+kph";1;0;3;7;1;0;1;0;59;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13744";"Keskusta";"1h,kk";"kt";27;"49000";"1815";"1970";"1/6";"ei";"tyyd.";"oma";"F";"28100";"1h+kk";1;0;1;6;0;0;1;0;50;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13745";"Keskusta";"oh, kt, kh, et";"kt";28,5;"110000";"3860";"2018";"5/8";"on";"hyvä";"oma";NA;"28100";"oh+kt+kh+et";NA;0;5;8;1;0;0;1;2;1;"missing";0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"13747";"Keskusta";"1h, kk, alkovi,...";"kt";27,5;"55000";"2000";"1983";"4/4";"on";"hyvä";"oma";"F2013";"28100";"1h+kk+alkovi+...";1;0;4;4;1;0;0;1;37;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13749";"Keskusta";"1h, kt, ph, s";"kt";36,5;"75000";"2055";"2006";"4/5";"ei";"hyvä";"oma";"D2013";"28100";"1h+kt+ph+s";1;1;4;5;0;0;0;1;14;1;"D";0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
"13750";"Keskusta";"2h,kk,s, lasite...";"kt";34;"115000";"3382";"2007";"3/5";"on";"hyvä";"oma";"E2013";"28100";"2h+kk+s+lasite...";2;1;3;5;1;0;0;1;13;1;"E";0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
"13751";"Keskusta";"1h+k";"kt";43;"55500";"1291";"1963";"3/8";"on";" ";"oma";"F2013";"28100";"1h+k";1;0;3;8;1;1;0;0;57;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13752";"Keskusta";"1h+kk,p";"kt";35;"59100";"1689";"1972";"3/4";"on";"hyvä";"oma";"F2013";"28100";"1h+kk+p";1;0;3;4;1;0;0;1;48;1;"F";0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
"13753";"Karjaranta";"1h, tk, s";"kt";38,5;"92000";"2390";"2001";"3/8";"on";"hyvä";"oma";"E2013";"28100";"1h+tk+s";1;1;3;8;1;0;0;1;19;1;"E";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
